"NumberDevice" "UserId" "Block" "Sequence" "NumberClicks" "NumberCircles" "CircleID" "DistanceCenter" "PixelStartCircleX" "PixelStartCircleY" "PixelEndCircleX" "PixelEndCircleY" "TargetWidth" "ElapsedTime" "MouseX" "MouseY" "targetx" "targety" "rx" "ry" "inside"
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220 186.601178988773 -2.1316282072803e-14 169.623794295021 5.98066960802613 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220 186.601178988773 -2.1316282072803e-14 169.623794295021 5.98066960802613 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 225 186.601178988773 -2.1316282072803e-14 163.911075834308 4.81240260574145 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236 186.601178988773 -2.1316282072803e-14 148.552116070327 -5.6805643230356 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236 186.601178988773 -2.1316282072803e-14 148.552116070327 -5.6805643230356 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236 186.601178988773 -2.1316282072803e-14 148.552116070327 -5.6805643230356 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236 186.601178988773 -2.1316282072803e-14 148.552116070327 -5.6805643230356 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236 186.601178988773 -2.1316282072803e-14 148.552116070327 -5.6805643230356 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1031 234 186.601178988773 -2.1316282072803e-14 151.103010992747 -4.45870709128832 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1032 233 186.601178988773 -2.1316282072803e-14 152.378458453956 -3.84777847541469 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1034 229 186.601178988773 -2.1316282072803e-14 156.81572945346 -3.29044008900365 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 228 186.601178988773 -2.1316282072803e-14 158.09117691467 -2.67951147313001 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 227 186.601178988773 -2.1316282072803e-14 159.034364953211 -3.01177089579813 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 226 186.601178988773 -2.1316282072803e-14 159.977552991753 -3.34403031846625 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 225 186.601178988773 -2.1316282072803e-14 160.920741030295 -3.67628974113437 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 225 186.601178988773 -2.1316282072803e-14 160.920741030295 -3.67628974113437 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 225 186.601178988773 -2.1316282072803e-14 160.920741030295 -3.67628974113437 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 223 186.601178988773 -2.1316282072803e-14 163.139376530047 -3.39762054792885 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 222 186.601178988773 -2.1316282072803e-14 164.082564568588 -3.72987997059696 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 221 186.601178988773 -2.1316282072803e-14 165.02575260713 -4.06213939326508 TRUE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 901 413 449.952219685602 -2.8421709430404e-14 0 0 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 852 477 449.952219685602 -2.8421709430404e-14 78.4016579019198 -18.7130980393504 FALSE
