"NumberDevice" "UserId" "Block" "Sequence" "NumberClicks" "NumberCircles" "CircleID" "DistanceCenter" "PixelStartCircleX" "PixelStartCircleY" "PixelEndCircleX" "PixelEndCircleY" "TargetWidth" "ElapsedTime" "MouseX" "MouseY" "targetx" "targety" "x" "y" "rx" "ry"
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 554 707 554.152506084742 5.50670620214078e-14 -347 294 454.712725148819 -9.01873537335919
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 756 519 419.401955169501 0 0 0 0 0
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 881 408 554.152506084742 5.50670620214078e-14 125 -111 163.108443241169 -36.6283461739978
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 929 389 554.152506084742 5.50670620214078e-14 173 -130 214.307536939533 -30.0213192733242
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1001 383 554.152506084742 5.50670620214078e-14 245 -136 280.215670316804 -0.422029506105801
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1015 383 554.152506084742 5.50670620214078e-14 259 -136 292.466447731334 6.35428606650856
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1031 383 554.152506084742 5.50670620214078e-14 275 -136 306.467336205082 14.098646720925
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1035 383 554.152506084742 5.50670620214078e-14 279 -136 309.967558323519 16.0347368845291
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1051 383 554.152506084742 5.50670620214078e-14 295 -136 323.968446797267 23.7790975389455
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1055 382 554.152506084742 5.50670620214078e-14 299 -137 327.952691456605 24.8401321729403
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1060 377 554.152506084742 5.50670620214078e-14 304 -142 334.748081809156 22.8849672293993
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1075 356 554.152506084742 5.50670620214078e-14 319 -163 358.038388112216 11.7691392211205
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1146 299 554.152506084742 5.50670620214078e-14 390 -220 447.756615545831 -3.74342556263355
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 297 554.152506084742 5.50670620214078e-14 401 -222 458.350271453335 -0.169288671940734
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 297 554.152506084742 5.50670620214078e-14 401 -222 458.350271453335 -0.169288671940734
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 554.152506084742 5.50670620214078e-14 401 -224 459.318316535137 -1.91939973115922
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 554.152506084742 5.50670620214078e-14 401 -224 459.318316535137 -1.91939973115922
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 554.152506084742 5.50670620214078e-14 401 -224 459.318316535137 -1.91939973115922
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 554.152506084742 5.50670620214078e-14 401 -224 459.318316535137 -1.91939973115922
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 554.152506084742 5.50670620214078e-14 401 -224 459.318316535137 -1.91939973115922
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 554.152506084742 5.50670620214078e-14 401 -224 459.318316535137 -1.91939973115922
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1149 295 554.152506084742 5.50670620214078e-14 393 -224 452.317872298263 -5.79158005836743
